Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1980,9567112,94095,1387,5439,,34015,53254,709730,239825,424223,45682,983.5,14.5,56.9,355.5,556.6,7418.4,2506.8,4434.2,477.5
1981,10166000,98109,1522,5707,,35473,55407,718470,241536,431222,45712,965.1,15,56.1,348.9,545,7067.4,2375.9,4241.8,449.7
1982,10416000,93411,1409,5587,,31002,55413,684166,211932,427462,44772,896.8,13.5,53.6,297.6,532,6568.4,2034.7,4103.9,429.8
1983,10680000,88292,1199,5170,,28126,53797,635934,191902,400796,43236,826.7,11.2,48.4,263.4,503.7,5954.4,1796.8,3752.8,404.8
1984,10976000,95270,1264,5570,,30311,58125,653429,198446,408153,46830,868,11.5,50.7,276.2,529.6,5953.3,1808,3718.6,426.7
1985,11366000,106971,1296,6004,,35506,64165,753918,228402,465792,59724,941.1,11.4,52.8,312.4,564.5,6633.1,2009.5,4098.1,525.5
1986,11675000,121013,1371,6152,,42822,70668,839651,259331,510496,69824,1036.5,11.7,52.7,366.8,605.3,7191.9,2221.3,4372.6,598.1
1987,12023000,123168,1371,6032,,42869,72896,899167,271346,546466,81355,1024.4,11.4,50.2,356.6,606.3,7478.7,2256.9,4545.2,676.7
1988,12377000,138343,1416,6154,,49916,80857,967869,283960,589215,94694,1117.7,11.4,49.7,403.3,653.3,7819.9,2294.3,4760.6,765.1
1989,12671000,140575,1405,6299,,51188,81683,975042,289254,583702,102086,1109.4,11.1,49.7,404,644.6,7695.1,2282.8,4606.6,805.7
1990,12937926,160990,1379,6781,,53928,98902,978944,280832,591210,106902,1244.3,10.7,52.4,416.8,764.4,7566.5,2170.6,4569.6,826.3
1991,13277000,157243,1248,6865,,53083,96047,977570,266313,607222,104035,1184.3,9.4,51.7,399.8,723.4,7362.9,2005.8,4573.5,783.6
1992,13488000,162827,1208,7310,,49482,104827,964533,254755,598093,111685,1207.2,9,54.2,366.9,777.2,7151,1888.8,4434.3,828
1993,13679000,164975,1224,7359,,48913,107479,977363,251063,603784,122516,1206,8.9,53.8,357.6,785.7,7145,1835.4,4413.9,895.7
1994,13953000,160016,1165,7301,,45871,105679,991105,237341,626578,127186,1146.8,8.3,52.3,328.8,757.4,7103.2,1701,4490.6,911.5
1995,14166000,151711,1037,6887,,42485,101302,939288,215657,612311,111320,1071,7.3,48.6,299.9,715.1,6630.6,1522.4,4322.4,785.8
1996,14400000,151350,1077,7508,,41643,101122,928273,219056,605448,103769,1051,7.5,52.1,289.2,702.2,6446.3,1521.2,4204.5,720.6
1997,14654000,149996,1012,7599,,40459,100926,915613,213926,594492,107195,1023.6,6.9,51.9,276.1,688.7,6248.2,1459.8,4056.9,731.5
1998,14916000,140016,967,7404,,36198,95447,887107,203105,579752,104250,938.7,6.5,49.6,242.7,639.9,5947.4,1361.7,3886.8,698.9
1999,15111244,129044,859,6990,,31969,89226,808674,181378,534105,93191,854,5.7,46.3,211.6,590.5,5351.5,1200.3,3534.5,616.7
2000,15982378,129777,903,7057,,31809,90008,780377,172898,518298,89181,812,5.6,44.2,199,563.2,4882.7,1081.8,3242.9,558
2001,16373330,130713,874,6641,,32867,90331,782517,176052,516548,89917,798.3,5.3,40.6,200.7,551.7,4779.2,1075.2,3154.8,549.2
2002,16691701,128721,911,6753,,32581,88476,777236,177242,511478,88516,771.2,5.5,40.5,195.2,530.1,4656.4,1061.9,3064.3,530.3
2003,16999181,124280,924,6727,,31523,85106,757696,170644,505489,81563,731.1,5.4,39.6,185.4,500.6,4457.3,1003.8,2973.6,479.8
2004,17385430,123754,946,6612,,29997,86199,727141,166332,482484,78325,711.8,5.4,38,172.5,495.8,4182.5,956.7,2775.2,450.5
2005,17768191,125957,883,6592,,30141,88341,712998,164783,472912,75303,709,5,37.1,169.6,497.2,4013,927.4,2662,424
2006,18089888,129602,1129,6475,,34147,87851,721101,170873,473774,76454,716.4,6.2,35.8,188.8,485.6,3986.2,944.6,2619,422.6
2007,18251243,131878,1202,6149,,38155,86372,746249,181836,490783,73630,722.6,6.6,33.7,209.1,473.2,4088.8,996.3,2689,403.4
2008,18328340,126256,1168,5972,,36268,82848,758889,188472,506902,63515,688.9,6.4,32.6,197.9,452,4140.5,1028.3,2765.7,346.5
2009,18537969,113541,1017,5501,,30911,76112,712010,181884,479867,50259,612.5,5.5,29.7,166.7,410.6,3840.8,981.1,2588.6,271.1
2010,18838613,101969,987,5373,,26086,69523,669035,169119,458454,41462,541.3,5.2,28.5,138.5,369,3551.4,897.7,2433.6,220.1
2011,19082262,98198,984,5273,,25622,66319,671200,170171,461408,39621,514.6,5.2,27.6,134.3,347.5,3517.4,891.8,2418,207.6
2012,19320749,94087,1009,5260,,23889,63929,632988,153563,442095,37330,487,5.2,27.2,123.6,330.9,3276.2,794.8,2288.2,193.2
2013,19600311,91993,972,4765,6767,23200,61054,607170,138915,433344,34911,469.3,5,24.3,118.4,311.5,3097.8,708.7,2210.9,178.1
2014,19893297,107521,1149,6051,8563,24914,72895,679446,143220,493647,42579,540.5,5.8,30.4,125.2,366.4,3415.5,719.9,2481.5,214